manu_sku,product_name,prod_page_url,updated_on,CASE,Price,Code
S-22454,"Economy Gold Bubble Mailer Envelope 6 x 10""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[250, 750, 1250, 2500]","[5.68, 5.95, 6.41, 6.76]","['C', 'C', 'C', 'C']"
S-22455,"Economy Gold Bubble Mailer Envelope 7.25 x 12""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[4.17, 4.35, 4.55, 4.76]","['C', 'C', 'C', 'C']"
S-22456,"Economy Gold Bubble Mailer Envelope 8.5 x 12""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[3.85, 4, 4.17, 4.35]","['C', 'C', 'C', 'C']"
S-23021,"Economy Gold Bubble Mailer Envelope 9.5 x 14.5""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[2.44, 2.63, 2.78, 2.94]","['C', 'C', 'C', 'C']"
S-22457,"Economy Gold Bubble Mailer Envelope 10.5 x 16""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[2.38, 2.56, 2.7, 2.86]","['C', 'C', 'C', 'C']"
S-23022,"Economy Gold Bubble Mailer Envelope 14.25 x 20""""",https://www.uline.com/BL_2357/Uline-Economy-Gold-Bubble-Mailers,03-01-2025 16:46,"[50, 150, 250, 500]","[1.28, 1.35, 1.43, 1.52]","['C', 'C', 'C', 'C']"
S-5631,"Self-Seal White Bubble Mailer Envelope 4W x 8""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[500, 1500, 2500, 5000]","[5.38, 5.68, 5.95, 6.17]","['C', 'C', 'C', 'C']"
S-5896,"Self-Seal White Bubble Mailer Envelope 5W x 10""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[250, 750, 1250, 2500]","[4.17, 4.46, 4.63, 5.32]","['C', 'C', 'C', 'C']"
S-5147,"Self-Seal White Bubble Mailer Envelope 6W x 10""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[250, 750, 1250, 2500]","[4.46, 4.46, 4.46, 4.46]","['C', 'C', 'C', 'C']"
S-5897,"Self-Seal White Bubble Mailer Envelope 7.25W x 8""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[200, 600, 1000, 2000]","[2.94, 3.23, 3.39, 3.64]","['C', 'C', 'C', 'C']"
S-5632,"Self-Seal White Bubble Mailer Envelope 7.25W x 12""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[2.56, 2.7, 2.86, 3.03]","['C', 'C', 'C', 'C']"
S-5148,"Self-Seal White Bubble Mailer Envelope 8.5W x 12""H""",https://www.uline.com/BL_1252/Uline-Self-Seal-White-Bubble-Mailers,03-01-2025 16:46,"[100, 300, 500, 1000]","[2.33, 2.56, 2.7, 2.86]","['C', 'C', 'C', 'C']"
